Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
glow-rify,Glow-rify,"<p>Elevate your glow. A luxurious herbal bar with Goat’s Milk and Carrot Seed Oil that gently cleanses and helps reveal soft, radiant, rejuvenated-looking skin.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Raw Honey, Carrot Seed Oil, Frankincense Oil.</p>
<p><strong>Full Ingredients:</strong> Goats Milk, Raw Honey, Glycerin, Carrot Seed Oil, Frankincense Oil, Jasmine Oil, Cypress Oil, Lavender Oil, Geranium Oil, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses to extend the life of your bar.</p>
<p><strong>Weight:</strong> 6.3 oz &middot; <strong>Collection:</strong> The Royal Collection</p>
<p><em>Handmade &amp; hand-poured in small batches &middot; 100% Natural &middot; Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible, Featured",TRUE,Title,Default Title,GLO-HER-BAR-06,179,shopify,25,deny,manual,21.99,,TRUE,TRUE,,,,,FALSE,Glow-rify · The Royal Collection | Royal Being,"Elevate your glow. A luxurious herbal bar with Goat’s Milk and Carrot Seed Oil that gently cleanses and helps reveal soft, radiant, rejuvenated-looking ski",active
the-rose-garden,The Rose Garden,"<p>A delightful floral ritual of Goat’s Milk, Honey, and Rose Hip Oil that leaves skin feeling nourished and softly perfumed with a luxurious rose fragrance.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Honey, Rose Hip Oil, Rose Oil.</p>
<p><strong>Full Ingredients:</strong> Goat Milk, Honey, Rose Hip Powder, Rose Hip Oil, Vanilla Oil, Rose Oil, Clove Oil, and Black Rose & Oud FO.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses to extend the life of your bar.</p>
<p><strong>Weight:</strong> 6.3 oz &middot; <strong>Collection:</strong> The Royal Collection</p>
<p><em>Handmade &amp; hand-poured in small batches &middot; 100% Natural &middot; Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible, Featured",TRUE,Title,Default Title,ROS-HER-BAR-06,179,shopify,25,deny,manual,19.99,,TRUE,TRUE,,,,,FALSE,The Rose Garden · The Royal Collection | Royal Being,"A delightful floral ritual of Goat’s Milk, Honey, and Rose Hip Oil that leaves skin feeling nourished and softly perfumed with a luxurious rose fragrance.",active
fresh-floral-fiesta,Fresh Floral Fiesta,"<p>Light, airy, blossoming florals. A moisturizing blend of pure Goat’s Milk and sweet Japanese Magnolia for a gentle yet effective cleanse suited to every skin type.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Rose Oil, Jasmine Oil, Japanese Magnolia Oil.</p>
<p><strong>Full Ingredients:</strong> Goats Milk, Palmarosa Oil, Rosewood Oil, Ylang Ylang, Geranium Oil, Rose Oil, Neroli Oil, Lavender Oil, Jasmine Oil, Coconut Oil, Chamomile Roman, Clary Sage Oil, Japanese Magnolia Oil and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses to extend the life of your bar.</p>
<p><strong>Weight:</strong> 7.3 oz &middot; <strong>Collection:</strong> The Royal Collection</p>
<p><em>Handmade &amp; hand-poured in small batches &middot; 100% Natural &middot; Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible, Featured",TRUE,Title,Default Title,FRE-HER-BAR-06,207,shopify,25,deny,manual,21.99,,TRUE,TRUE,,,,,FALSE,Fresh Floral Fiesta · The Royal Collection | Royal Being,"Light, airy, blossoming florals. A moisturizing blend of pure Goat’s Milk and sweet Japanese Magnolia for a gentle yet effective cleanse suited to every sk",active
the-enchanted-garden,The Enchanted Garden,"<p>Bright, fairy-like florals with Coconut and Jasmine of the Arabias for a luxurious lather that leaves skin feeling dewy, nourished, and revitalized.</p>
<p><strong>Key Ingredients:</strong> Coconut Milk, Rose Absolute Oil, Warm Oud Oil, Sandalwood Oil.</p>
<p><strong>Full Ingredients:</strong> Coconut Milk Base, Goats Milk, Rose Absolute Oil, Geranium Oil, Neroli Oil, Cedarwood Oil, Sandalwood Oil, Patchouli Oil, Vetiver Oil, Lavender Oil, Basil Oil, Amber Oil, Warm Oud Oil, Watermelon FO, Lime Oil, Bergamot Oil, Natural Coloring, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses to extend the life of your bar.</p>
<p><strong>Weight:</strong> 6.3 oz &middot; <strong>Collection:</strong> The Royal Collection</p>
<p><em>Handmade &amp; hand-poured in small batches &middot; 100% Natural &middot; Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Collection, Herbal Soap, Handmade, All Natural, Made in USA, Coming Soon",TRUE,Title,Default Title,ENC-HER-BAR-06,179,shopify,0,deny,manual,21.99,,TRUE,TRUE,,,,,FALSE,The Enchanted Garden · The Royal Collection | Royal Being,"Bright, fairy-like florals with Coconut and Jasmine of the Arabias for a luxurious lather that leaves skin feeling dewy, nourished, and revitalized.",active
gilded-age,Gilded Age,"<p>Deep, warm floral notes reminiscent of vintage luxury. Cocoa Butter, Rose, and Ylang Ylang leave behind a rich, opulent scent and a blissful, bubbly lather.</p>
<p><strong>Key Ingredients:</strong> Cocoa Butter, Goat’s Milk, Rose Oil, Ylang Ylang Oil.</p>
<p><strong>Full Ingredients:</strong> Cocoa Butter Base, Goats Milk Base, Patchouli Oil, Violet Oil, Lavender Oil, Rose Oil, Ylang Ylang Oil, Frankincense Oil, Glycerin Base, Cedarwood Oil, Sweet Orange Oil, Bergamot Oil, Cinnamon Oil, Jasmine Oil, Natural Coloring and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses to extend the life of your bar.</p>
<p><strong>Weight:</strong> 6.3 oz &middot; <strong>Collection:</strong> The Royal Collection</p>
<p><em>Handmade &amp; hand-poured in small batches &middot; 100% Natural &middot; Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Collection, Herbal Soap, Handmade, All Natural, Made in USA, Coming Soon, Featured",TRUE,Title,Default Title,GLO-HER-BAR-06,179,shopify,0,deny,manual,21.99,,TRUE,TRUE,,,,,FALSE,Gilded Age · The Royal Collection | Royal Being,"Deep, warm floral notes reminiscent of vintage luxury. Cocoa Butter, Rose, and Ylang Ylang leave behind a rich, opulent scent and a blissful, bubbly lather",active
the-reiny,The Reiny,"<p>A clarifying, captivating bar with Glycerin, Goat’s Milk, Honey, Bergamot, and Ylang Ylang for luxurious lathers that revive and nourish tired-looking skin.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Glycerin, Bergamot Oil, Saffron Oil.</p>
<p><strong>Full Ingredients:</strong> Glycerin Base, Goat’s Milk, Bergamot Oil, Ylang Ylang Oil, Jasmine Oil, Saffron Oil, Cedarwood Oil, Sandalwood Oil, Orange Oil, Honey, Vanilla Oil, Natural Coloring and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses to extend the life of your bar.</p>
<p><strong>Weight:</strong> 6.7 oz &middot; <strong>Collection:</strong> The Royal Collection</p>
<p><em>Handmade &amp; hand-poured in small batches &middot; 100% Natural &middot; Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Collection, Herbal Soap, Handmade, All Natural, Made in USA, Coming Soon",TRUE,Title,Default Title,,190,shopify,0,deny,manual,21.99,,TRUE,TRUE,,,,,FALSE,The Reiny · The Royal Collection | Royal Being,"A clarifying, captivating bar with Glycerin, Goat’s Milk, Honey, Bergamot, and Ylang Ylang for luxurious lathers that revive and nourish tired-looking skin",active
the-duchess,The Duchess,"<p>Sophisticated elegance with Goat’s Milk, Mango Butter, Lily, and Jasmine. Crisp, delicate florals make an exquisite first step in your cleansing ritual.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Mango Butter, Lily of the Valley Oil, Jasmine Oil.</p>
<p><strong>Full Ingredients:</strong> Goats Milk, Mango Butter, Organic Lily of the Valley Oil, Jasmine Oil, Bergamot Oil, Sandalwood Oil, Vetiver Oil, Amber Oil, Grape Seed Oil, Vitamin E Oil, Natural Coloring, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses to extend the life of your bar.</p>
<p><strong>Weight:</strong> 6.7 oz &middot; <strong>Collection:</strong> The Royal Collection</p>
<p><em>Handmade &amp; hand-poured in small batches &middot; 100% Natural &middot; Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Collection, Herbal Soap, Handmade, All Natural, Made in USA, Coming Soon",TRUE,Title,Default Title,DUC-HER-BAR-6.7,190,shopify,0,deny,manual,25.99,,TRUE,TRUE,,,,,FALSE,The Duchess · The Royal Collection | Royal Being,"Sophisticated elegance with Goat’s Milk, Mango Butter, Lily, and Jasmine. Crisp, delicate florals make an exquisite first step in your cleansing ritual.",active
african-rhapsody,African Rhapsody,"<p>The deep-cleansing character of African black soap, made from plantain skins and cocoa pod, blended with Shea Butter and Goat’s Milk for a wholesome, balancing cleanse.</p>
<p><strong>Key Ingredients:</strong> African Black Soap, Shea Butter, Goat’s Milk, Frankincense Oil.</p>
<p><strong>Full Ingredients:</strong> Organic African Black Soap, Shea Butter, Goats Milk, Lemon Oil, Sweet Orange Oil, Sweet Almond Oil, Frankincense Oil, Eucalyptus Oil, Neroli Oil, Raw Honey, Vanilla Oil, Clove Oil, Cypress Oil, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses to extend the life of your bar.</p>
<p><strong>Weight:</strong> 6.7 oz &middot; <strong>Collection:</strong> The Signature Collection</p>
<p><em>Handmade &amp; hand-poured in small batches &middot; 100% Natural &middot; Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Signature Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible",TRUE,Title,Default Title,AFR-HER-BAR-06,190,shopify,25,deny,manual,18.99,,TRUE,TRUE,,,,,FALSE,African Rhapsody · The Signature Collection | Royal Being,"The deep-cleansing character of African black soap, made from plantain skins and cocoa pod, blended with Shea Butter and Goat’s Milk for a wholesome, balan",active
aquatic-escape,Aquatic Escape,"<p>Delightful scents of the ocean and beyond. Goat’s Milk and Hawaiian Sandalwood create a deeply cleansing, earthy, refreshing bar for skin and senses.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Hawaiian Sandalwood, Grapefruit Oil, Eucalyptus Oil.</p>
<p><strong>Full Ingredients:</strong> Goats Milk, Glycerin, Coconut Oil, Lime Oil, Lavender Oil, Violet Oil, East Indian Sandalwood, Hawaiian Sandalwood, Sweet Orange Oil, Grapefruit Oil, Eucalyptus Oil, Seaweed FO, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses to extend the life of your bar.</p>
<p><strong>Weight:</strong> 7.3 oz &middot; <strong>Collection:</strong> The Signature Collection</p>
<p><em>Handmade &amp; hand-poured in small batches &middot; 100% Natural &middot; Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Signature Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible",TRUE,Title,Default Title,AQU-HER-BAR-04,207,shopify,25,deny,manual,25.00,,TRUE,TRUE,,,,,FALSE,Aquatic Escape · The Signature Collection | Royal Being,"Delightful scents of the ocean and beyond. Goat’s Milk and Hawaiian Sandalwood create a deeply cleansing, earthy, refreshing bar for skin and senses.",active
herbal-galaxy-renewal,Herbal Galaxy Renewal Soap,"<p>A herbal fusion of Shea Butter, Goat’s Milk, and Vanilla that lifts the spirits one blissful lather at a time, leaving skin feeling soft, radiant, and hydrated.</p>
<p><strong>Key Ingredients:</strong> Shea Butter, Goat’s Milk, Vanilla Oil, Spirulina Powder.</p>
<p><strong>Full Ingredients:</strong> Shea Butter, Goats Milk, Honey, Coconut Oil, Vitamin E Oil, Turmeric Oil, Vanilla Oil, Clove Oil, Eucalyptus Oil, Rose Oil, Peppermint Oil, Spirulina Powder, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses to extend the life of your bar.</p>
<p><strong>Weight:</strong> 7.3 oz &middot; <strong>Collection:</strong> The Signature Collection</p>
<p><em>Handmade &amp; hand-poured in small batches &middot; 100% Natural &middot; Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Signature Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible",TRUE,Title,Default Title,HER-HER-BAR-06,207,shopify,25,deny,manual,13.99,,TRUE,TRUE,,,,,FALSE,Herbal Galaxy Renewal Soap · The Signature Collection | Royal Being,"A herbal fusion of Shea Butter, Goat’s Milk, and Vanilla that lifts the spirits one blissful lather at a time, leaving skin feeling soft, radiant, and hydr",active
