Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
the-iris,The Iris,"<p>True to its name. Soothing lavender and uplifting sweet orange make bath time a fun, invigorating moment for every child.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk Base, Aloe Vera Base, Lavender Oil, Sweet Orange Oil.</p>
<p><strong>Full Ingredients:</strong> Goat’s Milk Base, Aloe Vera Base, Lavender Oil, Organic Roman Chamomile Oil, Sweet Orange Oil, Natural Coloring, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 5.29 oz · <strong>Collection:</strong> The Royal Kid Herbal Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Kid Herbal Collection, Herbal Soap, Handmade, All Natural, Made in USA, Coming Soon",TRUE,Title,Default Title,,150,shopify,0,deny,manual,12.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/the-iris.jpg,1,The Iris — Royal Being herbal soap,FALSE,The Iris · The Royal Kid Herbal Collection | Royal Being,"True to its name. Soothing lavender and uplifting sweet orange make bath time a fun, invigorating moment for every child.",active
the-matthew,The Matthew,"<p>Tried and approved by kids. Shea Butter and calendula help nourish delicate skin with a gentle, bath-time-friendly lather they love.</p>
<p><strong>Key Ingredients:</strong> Oatmeal Base, Aloe Vera Base, Shea Butter, Roman Chamomile Oil.</p>
<p><strong>Full Ingredients:</strong> Oatmeal Base, Aloe Vera Base, Shea Butter Base, Coconut Oil, Aloe Vera Oil, Aloe Vera Gel, Castor Oil, Organic Roman Chamomile Oil, Sweet Orange Oil, Melon Oil, Organic Cucumber Oil, Oatmeal, Natural Coloring, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 3 oz · <strong>Collection:</strong> The Royal Kid Herbal Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Kid Herbal Collection, Herbal Soap, Handmade, All Natural, Made in USA, Coming Soon",TRUE,Title,Default Title,,85,shopify,0,deny,manual,9.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/the-matthew.jpg,1,The Matthew — Royal Being herbal soap,FALSE,The Matthew · The Royal Kid Herbal Collection | Royal Being,"Tried and approved by kids. Shea Butter and calendula help nourish delicate skin with a gentle, bath-time-friendly lather they love.",active
the-bodhi,The Bodhi,"<p>Gentle care for sensitive skin. Oatmeal, honey, aloe, and shea with a touch of sweet orange — a soft, lofty lather perfect for bedtime baths.</p>
<p><strong>Key Ingredients:</strong> Oatmeal Base, Honey Base, Aloe Vera Base, Shea Butter.</p>
<p><strong>Full Ingredients:</strong> Oatmeal Base, Honey Base, Aloe Vera Base, Shea Butter Base, Lavender Oil, Organic Roman Chamomile Oil, Sweet Orange Oil, Oatmeal, Natural Coloring, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 3 oz · <strong>Collection:</strong> The Royal Kid Herbal Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Kid Herbal Collection, Herbal Soap, Handmade, All Natural, Made in USA, Coming Soon",TRUE,Title,Default Title,,85,shopify,0,deny,manual,9.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/the-bodhi.jpg,1,The Bodhi — Royal Being herbal soap,FALSE,The Bodhi · The Royal Kid Herbal Collection | Royal Being,"Gentle care for sensitive skin. Oatmeal, honey, aloe, and shea with a touch of sweet orange — a soft, lofty lather perfect for bedtime baths.",active
the-chloe,The Chloe,"<p>Full bloom for little ones. Gentle lavender and spearmint with a soft, caressing lather that leaves delicate skin feeling supple, smooth, and restored.</p>
<p><strong>Key Ingredients:</strong> Coconut Milk, Mango Base, Lavender Oil, Roman Chamomile Oil.</p>
<p><strong>Full Ingredients:</strong> Coconut Milk, Mango Base, Lavender Oil, Organic Roman Chamomile Oil, Sweet Orange Oil, Cherry Blossom Oil, Natural Coloring, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 5.29 oz · <strong>Collection:</strong> The Royal Kid Herbal Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Kid Herbal Collection, Herbal Soap, Handmade, All Natural, Made in USA, Coming Soon",TRUE,Title,Default Title,,150,shopify,0,deny,manual,12.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/the-chloe.jpg,1,The Chloe — Royal Being herbal soap,FALSE,The Chloe · The Royal Kid Herbal Collection | Royal Being,"Full bloom for little ones. Gentle lavender and spearmint with a soft, caressing lather that leaves delicate skin feeling supple, smooth, and restored.",active
teakwood,Teakwood,"<p>Warm, woody, and provocative. Teakwood, Warm Oud, and Patchouli over Goat’s Milk for a rich, luxurious lather with smoky, outdoorsy notes.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Teakwood Oil, Tobacco Oud, Warm Oud Oil.</p>
<p><strong>Full Ingredients:</strong> Goat’s Milk, Teakwood Oil, Tobacco Oud, Patchouli Oil, Lavender Oil, Black Pepper Oil, Warm Oud Oil, Clove Oil, Cardamom Oil, Bergamot Oil, Natural Coloring, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 7.3 oz · <strong>Collection:</strong> The Royal Duke Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Duke Collection, Herbal Soap, Handmade, All Natural, Made in USA, Coming Soon",TRUE,Title,Default Title,,207,shopify,0,deny,manual,21.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/teakwood__teakwood-1.jpg,1,Teakwood — Royal Being herbal soap,FALSE,Teakwood · The Royal Duke Collection | Royal Being,"Warm, woody, and provocative. Teakwood, Warm Oud, and Patchouli over Goat’s Milk for a rich, luxurious lather with smoky, outdoorsy notes.",active
teakwood,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/teakwood__teakwood-2.jpg,2,Teakwood — view 2,,,,
teakwood,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/teakwood__teakwood-3.jpg,3,Teakwood — view 3,,,,
bamboozled,Bamboozled,"<p>The crisp world of Green Bamboo, with delicate balsam and bamboo reeds. Masculine, grounding, and unpretentious — a fresh, wild, clean finish.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Fir Balsam Oil, White Tea Oil, Cedar Wood Oil.</p>
<p><strong>Full Ingredients:</strong> Goat’s Milk, Bamboo FO, Organic Fir Balsam Oil, White Tea Oil, Cedar Wood Oil, Sandalwood Oil, Patchouli Oil, Natural Coloring, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 7.3 oz · <strong>Collection:</strong> The Royal Duke Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Duke Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible, Featured",TRUE,Title,Default Title,,207,shopify,25,deny,manual,19.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/bamboozled__bamboozled-1.jpg,1,Bamboozled — Royal Being herbal soap,FALSE,Bamboozled · The Royal Duke Collection | Royal Being,"The crisp world of Green Bamboo, with delicate balsam and bamboo reeds. Masculine, grounding, and unpretentious — a fresh, wild, clean finish.",active
bamboozled,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/bamboozled__bamboozled-2.jpg,2,Bamboozled — view 2,,,,
bamboozled,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/bamboozled__bamboozled-3.jpg,3,Bamboozled — view 3,,,,
