Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
blissful-lavender,Blissful Lavender,"<p>A naturally calming ritual. Goat’s Milk, Lavender Oil, and Lavender Buds create a soothing lather with a beloved, relaxing aroma.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Lavender Oil, Lavender Buds, Bergamot Oil.</p>
<p><strong>Full Ingredients:</strong> Goat’s Milk, Lavender Oil, Vitamin E Oil, Bergamot Oil, Mint Oil, Lavender Buds, Natural Coloring and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 6.3 oz · <strong>Collection:</strong> The Common Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Common Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible, Featured",TRUE,Title,Default Title,,179,shopify,25,deny,manual,14.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/blissful-lavender__blissful-lavender-1.png,1,Blissful Lavender — Royal Being herbal soap,FALSE,Blissful Lavender · The Common Collection | Royal Being,"A naturally calming ritual. Goat’s Milk, Lavender Oil, and Lavender Buds create a soothing lather with a beloved, relaxing aroma.",active
detoxify,Detoxify,"<p>Pure Bentonite Clay paired with Goat’s Milk and Shea Butter for a clarifying cleanse that helps absorb the look of excess oil without dryness.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Bentonite Clay, Shea Butter, Patchouli Oil.</p>
<p><strong>Full Ingredients:</strong> Goats Milk, Shea Butter, Bentonite Clay, Frankincense Oil, Lemongrass Oil, Patchouli Oil, Grape Seed Oil, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 6.3 oz · <strong>Collection:</strong> The Common Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Common Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible",TRUE,Title,Default Title,DET-HER-BAR-06,179,shopify,25,deny,manual,17.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/detoxify__detoxify-1.png,1,Detoxify — Royal Being herbal soap,FALSE,Detoxify · The Common Collection | Royal Being,Pure Bentonite Clay paired with Goat’s Milk and Shea Butter for a clarifying cleanse that helps absorb the look of excess oil without dryness.,active
citrus-heaven,Citrus Heaven,"<p>Bright, zesty, refreshing citrus. Goat’s Milk, Tangerine, and Sweet Orange transport skin to a sweet, tropical oasis with every use.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Tangerine Oil, Sweet Orange Oil, Grapefruit Oil.</p>
<p><strong>Full Ingredients:</strong> Goats Milk, Lime Oil, Tangerine Oil, Sweet Orange Oil, Bergamot Oil, Lemongrass Oil, Grapefruit Oil, Lemon Oil, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 7.3 oz · <strong>Collection:</strong> The Common Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Common Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible",TRUE,Title,Default Title,CIT-HER-BAR-06,207,shopify,25,deny,manual,15.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/citrus-heaven__citrus-heaven-1.png,1,Citrus Heaven — Royal Being herbal soap,FALSE,Citrus Heaven · The Common Collection | Royal Being,"Bright, zesty, refreshing citrus. Goat’s Milk, Tangerine, and Sweet Orange transport skin to a sweet, tropical oasis with every use.",active
calm,Calm,"<p>The natural essence of Oat Milk and Honey with calming essential oils and an invigorating ocean-breeze scent for a deeply cleansing daily ritual.</p>
<p><strong>Key Ingredients:</strong> Oat Milk, Honey, Jojoba Oil, Chamomile Oil.</p>
<p><strong>Full Ingredients:</strong> Oat Milk, Honey, Jojoba Oil, Lavender Oil, Geranium Oil, Ylang Ylang Oil, Chamomile Oil, Tea Tree Oil and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 6.3 oz · <strong>Collection:</strong> The Common Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Common Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible",TRUE,Title,Default Title,CAL-HER-BAR-06,179,shopify,25,deny,manual,16.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/calm__calm-1.png,1,Calm — Royal Being herbal soap,FALSE,Calm · The Common Collection | Royal Being,The natural essence of Oat Milk and Honey with calming essential oils and an invigorating ocean-breeze scent for a deeply cleansing daily ritual.,active
the-ethan,The Ethan,"<p>Grounded, strong, and bold. Warm sage balanced with spicy black pepper for an enduring, earthy, fresh shower experience with remarkable staying power.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Sage Oil, Black Pepper, Warm Oud FO.</p>
<p><strong>Full Ingredients:</strong> Goat’s Milk, Vanilla Oil, Cedarwood Oil, Sandalwood Oil, Amber Oil, Vetiver Oil, Bergamot Oil, Black Pepper, Fresh Linen FO, Sage Oil, White Tea FO, Eucalyptus Oil, Warm Oud FO, Natural Coloring, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 7.3 oz · <strong>Collection:</strong> The Royal Duke Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Duke Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible",TRUE,Title,Default Title,,207,shopify,25,deny,manual,21.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/the-ethan__the-ethan-1.jpg,1,The Ethan — Royal Being herbal soap,FALSE,The Ethan · The Royal Duke Collection | Royal Being,"Grounded, strong, and bold. Warm sage balanced with spicy black pepper for an enduring, earthy, fresh shower experience with remarkable staying power.",active
the-ethan,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/the-ethan__the-ethan-2.jpg,2,The Ethan — view 2,,,,
the-ethan,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/the-ethan__the-ethan-3.jpg,3,The Ethan — view 3,,,,
the-ethan,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/the-ethan__the-ethan-4.jpg,4,The Ethan — view 4,,,,
the-aristocrat,The Aristocrat,"<p>The noble bar for the refined, ambitious man. A crisp, fresh blend of cedar, amber, and bergamot that refreshes skin then settles into inviting warmth.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Cedarwood, Amber Oil, Bergamot Oil.</p>
<p><strong>Full Ingredients:</strong> Goat’s Milk, Cedarwood, Patchouli Oil, Amber Oil, Warm Oud Oil, Watermelon FO, Lime Oil, Bergamot Oil, Natural Coloring, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 7.3 oz · <strong>Collection:</strong> The Royal Duke Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Duke Collection, Herbal Soap, Handmade, All Natural, Made in USA, Coming Soon",TRUE,Title,Default Title,,207,shopify,0,deny,manual,20.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/the-aristocrat__the-aristocrat-1.jpg,1,The Aristocrat — Royal Being herbal soap,FALSE,The Aristocrat · The Royal Duke Collection | Royal Being,"The noble bar for the refined, ambitious man. A crisp, fresh blend of cedar, amber, and bergamot that refreshes skin then settles into inviting warmth.",active
the-aristocrat,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/the-aristocrat__the-aristocrat-2.jpg,2,The Aristocrat — view 2,,,,
the-aristocrat,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/the-aristocrat__the-aristocrat-3.jpg,3,The Aristocrat — view 3,,,,
