Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
sweet-madagascar,Sweet Madagascar,"<p>Sophisticated notes of coconut, vanilla, and Ravintsara transport you to the orchids of Madagascar in a gentle, effective cleanse.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Coconut Oil, Vanilla Oil, Ravintsara Oil.</p>
<p><strong>Full Ingredients:</strong> Goat Milk, Coconut Oil, Ravintsara (Cinnamomum Camphora) Oil, Geranium Oil, Vanilla Oil, Jasmine Oil, Saro Oil, Orange Blossom Oil, Ylang Ylang Oil, Clove Oil and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 6.3 oz · <strong>Collection:</strong> The Signature Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Signature Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible",TRUE,Title,Default Title,SWE-HER-BAR-06,179,shopify,25,deny,manual,21.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/sweet-madagascar.jpg,1,Sweet Madagascar — Royal Being herbal soap,FALSE,Sweet Madagascar · The Signature Collection | Royal Being,"Sophisticated notes of coconut, vanilla, and Ravintsara transport you to the orchids of Madagascar in a gentle, effective cleanse.",active
melanin-popping,Melanin Popping,"<p>African black soap enriched with Shea Butter and nourishing botanicals that balance, soothe, and revitalize — thoughtfully crafted for brown and black skin.</p>
<p><strong>Key Ingredients:</strong> African Black Soap, Shea Butter, Goat’s Milk, Turmeric Oil.</p>
<p><strong>Full Ingredients:</strong> African Black Soap, Goat Milk, Shea Butter, Coconut Oil, Jojoba Oil, Lavender Oil, Carrot Seed Oil, Geranium Oil, Tea Tree Oil, Frankincense Oil, Myrrh Oil, Turmeric Oil, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 6.3 oz · <strong>Collection:</strong> The Signature Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Signature Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible",TRUE,Title,Default Title,MEL-HER-BAR-05,179,shopify,25,deny,manual,19.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/melanin-popping.jpg,1,Melanin Popping — Royal Being herbal soap,FALSE,Melanin Popping · The Signature Collection | Royal Being,"African black soap enriched with Shea Butter and nourishing botanicals that balance, soothe, and revitalize — thoughtfully crafted for brown and black skin",active
turmeric-swirl,Turmeric Swirl,"<p>Coconut Milk and Turmeric root powder help brighten the look of skin and support a natural, radiant glow. A luminous weekly ritual.</p>
<p><strong>Key Ingredients:</strong> Coconut Milk, Turmeric Root Powder, Shea Butter, Kaolin Clay.</p>
<p><strong>Full Ingredients:</strong> Coconut Milk, Turmeric root powder, Turmeric Oil, Olive Oil, Shea Butter, Kaolin Clay, Orange Oil, Lavender Oil, and Tea Tree Oil.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 6.7 oz · <strong>Collection:</strong> The Signature Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Signature Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible, Featured",TRUE,Title,Default Title,TUR-HER-BAR-05,190,shopify,25,deny,manual,11.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/turmeric-swirl__turmeric-swirl-1.png,1,Turmeric Swirl — Royal Being herbal soap,FALSE,Turmeric Swirl · The Signature Collection | Royal Being,"Coconut Milk and Turmeric root powder help brighten the look of skin and support a natural, radiant glow. A luminous weekly ritual.",active
charcoal-moment,Charcoal Moment,"<p>Deep-pore cleansing with Activated Charcoal, Bentonite Clay, and Goat’s Milk — the gentlest exfoliation that helps draw out the look of impurities.</p>
<p><strong>Key Ingredients:</strong> Activated Charcoal, Goat’s Milk, Bentonite Clay, Tea Tree Oil.</p>
<p><strong>Full Ingredients:</strong> Coconut Oil, Activated Charcoal Powder, Goat Milk, Glycerin, Shea Butter, Bentonite Clay, Tea tree Oil, Peppermint Oil, Eucalyptus Oil, and Lavender Oil.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 7.3 oz · <strong>Collection:</strong> The Signature Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Signature Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible, Featured",TRUE,Title,Default Title,CHA-HER-BAR-05,207,shopify,25,deny,manual,14.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/charcoal-moment__charcoal-moment-1.png,1,Charcoal Moment — Royal Being herbal soap,FALSE,Charcoal Moment · The Signature Collection | Royal Being,"Deep-pore cleansing with Activated Charcoal, Bentonite Clay, and Goat’s Milk — the gentlest exfoliation that helps draw out the look of impurities.",active
islander,Islander,"<p>Creamy coconut, sun-sweetened mango, and ocean breeze. A lush, vacation-inspired lather that treats skin and elevates the senses.</p>
<p><strong>Key Ingredients:</strong> Coconut Milk, Mango Butter, Bergamot Oil, Vanilla Oil.</p>
<p><strong>Full Ingredients:</strong> Coconut Milk, Glycerin, Coconut Oil, Honey, Ylang Ylang Oil, Lime Oil, Lemon Oil, Orange Oil, Spearmint Oil, Bergamot Oil, Mango Butter, Vanilla Oil, Pineapple Oil, Ginger Oil, Plumeria Oil, Tea Tree Oil, Vetiver Oil, Patchouli Oil, Clary Sage Oil, Geranium Oil, Frankincense oil, Sandalwood Oil, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 7.3 oz · <strong>Collection:</strong> The Signature Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Signature Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible",TRUE,Title,Default Title,ISL-HER-BAR-06,207,shopify,25,deny,manual,21.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/islander.jpg,1,Islander — Royal Being herbal soap,FALSE,Islander · The Signature Collection | Royal Being,"Creamy coconut, sun-sweetened mango, and ocean breeze. A lush, vacation-inspired lather that treats skin and elevates the senses.",active
watermelon-fusion,Watermelon Fusion,"<p>A tropical oasis of Goat’s Milk, Peppermint, and Watermelon with poppy seeds for gentle exfoliation. Leaves skin feeling refreshed, smoother, softer, and radiant.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Watermelon Oil, Peppermint Oil, Poppy Seeds.</p>
<p><strong>Full Ingredients:</strong> Goat’s Milk, Oat Milk Base, Coconut Oil, Watermelon Oil, Lavender Oil, Rose Oil, Eucalyptus Oil, Vanilla Oil, Peppermint Oil, Clove Oil, Pink Clay Powder, Poppy Seeds, Watermelon FO, Natural Coloring, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 6.7 oz · <strong>Collection:</strong> The Signature Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Signature Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible, Featured",TRUE,Title,Default Title,WM-ORG-BR-04-ST,190,shopify,25,deny,manual,19.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/watermelon-fusion.jpg,1,Watermelon Fusion — Royal Being herbal soap,FALSE,Watermelon Fusion · The Signature Collection | Royal Being,"A tropical oasis of Goat’s Milk, Peppermint, and Watermelon with poppy seeds for gentle exfoliation. Leaves skin feeling refreshed, smoother, softer, and r",active
zen-moment,Zen Moment,"<p>A tranquil, spa-like exhale. Lavender, eucalyptus, and peppermint turn an everyday routine into a mindful, wholesome ritual.</p>
<p><strong>Key Ingredients:</strong> Aloe Vera Base, Lavender Oil, Eucalyptus Oil, Peppermint Oil.</p>
<p><strong>Full Ingredients:</strong> Aloe Vera Base, Coconut Oil Base, Aloe Vera Oil, Lavender Oil, Frankincense Oil, Peppermint Oil, Eucalyptus Oil, Tea Tree Oil, Violet Oil, Natural Coloring and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 6.3 oz · <strong>Collection:</strong> The Signature Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Signature Collection, Herbal Soap, Handmade, All Natural, Made in USA, Coming Soon",TRUE,Title,Default Title,,179,shopify,0,deny,manual,19.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/zen-moment.jpg,1,Zen Moment — Royal Being herbal soap,FALSE,Zen Moment · The Signature Collection | Royal Being,"A tranquil, spa-like exhale. Lavender, eucalyptus, and peppermint turn an everyday routine into a mindful, wholesome ritual.",active
anti-aging-herbal,Anti-Aging Herbal Soap,"<p>A time-capsule in a bar. Rich butters and Frankincense produce a very gentle lather that leaves skin feeling deeply hydrated and renewed.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Kokum Butter, Frankincense Oil, Chamomile Oil.</p>
<p><strong>Full Ingredients:</strong> Goats Milk, Oat Milk Base, Honey Base, Kokum Butter, Murumuru Butter, Tucuma Butter, Cupuacu Butter, Ucuuba Butter, Coconut Oil, Frankincense Oil, Lotus Oil, Eucalyptus Oil, Lavender Oil, Chamomile Oil, Japanese Magnolia Oil, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 6.3 oz · <strong>Collection:</strong> The Common Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Common Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible",TRUE,Title,Default Title,AA-SH-ROS-BR-04,179,shopify,25,deny,manual,25.00,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/anti-aging-herbal.jpg,1,Anti-Aging Herbal Soap — Royal Being herbal soap,FALSE,Anti-Aging Herbal Soap · The Common Collection | Royal Being,A time-capsule in a bar. Rich butters and Frankincense produce a very gentle lather that leaves skin feeling deeply hydrated and renewed.,active
aloe-vera-wave,Aloe Vera Wave,"<p>A revitalizing bar built on Aloe Vera base and gel, celebrated for its moisturizing, soothing feel and a calming, purifying cleansing experience.</p>
<p><strong>Key Ingredients:</strong> Aloe Vera Base, Aloe Vera Gel, Goat’s Milk, Cucumber Oil.</p>
<p><strong>Full Ingredients:</strong> Aloe Vera Base, Aloe Vera Gel, Goat’s Milk, Aloe Vera Oil, Cucumber Oil, Violet Oil, Natural Coloring and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 6.7 oz · <strong>Collection:</strong> The Common Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Common Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible, Featured",TRUE,Title,Default Title,ALO-HER-BAR-06,190,shopify,25,deny,manual,14.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/aloe-vera-wave__aloe-vera-wave-1.png,1,Aloe Vera Wave — Royal Being herbal soap,FALSE,Aloe Vera Wave · The Common Collection | Royal Being,"A revitalizing bar built on Aloe Vera base and gel, celebrated for its moisturizing, soothing feel and a calming, purifying cleansing experience.",active
beef-tallow,Beef Tallow,"<p>Grass-fed, pasture-raised Beef Tallow and Goat’s Milk deeply moisturize without a greasy feel — a nourishing blend that leaves skin feeling renewed.</p>
<p><strong>Key Ingredients:</strong> Beef Tallow, Goat’s Milk, Oatmeal, Tea Tree Oil.</p>
<p><strong>Full Ingredients:</strong> Pasture Raised, Grass Fed Beef Tallow, Goat’s Milk, Oatmeal Base, Honey, Coconut Oil, Olive Oil, Castor Oil, Tea tree Oil, Mint Oil, and Lavender Oil.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 6.39 oz · <strong>Collection:</strong> The Common Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Common Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible",TRUE,Title,Default Title,BEE-HER-BAR-06,181,shopify,25,deny,manual,14.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/beef-tallow__beef-tallow-1.png,1,Beef Tallow — Royal Being herbal soap,FALSE,Beef Tallow · The Common Collection | Royal Being,"Grass-fed, pasture-raised Beef Tallow and Goat’s Milk deeply moisturize without a greasy feel — a nourishing blend that leaves skin feeling renewed.",active
